时间单位:mS, 转换单位: 毫伏
Index	  Tims        AI00      AI01      
   658    2.63200   2647.09   2517.40 
   659    2.63600   2661.74   2540.59 
   660    2.64000   2666.32   2562.87 
   661    2.64400   2676.09   2580.57 
   662    2.64800   2686.77   2600.10 
   663    2.65200   2696.53   2621.15 
   664    2.65600   2712.10   2642.82 
   665    2.66000   2727.05   2664.18 
   666    2.66400   2740.48   2675.17 
   667    2.66800   2753.91   2691.35 
   668    2.67200   2769.78   2709.05 
   669    2.67600   2784.42   2723.39 
   670    2.68000   2800.90   2738.04 
   671    2.68400   2821.35   2753.91 
   672    2.68800   2836.91   2767.33 
   673    2.69200   2854.92   2782.59 
   674    2.69600   2873.54   2794.49 
   675    2.70000   2892.76   2807.62 
   676    2.70400   2911.07   2820.43 
   677    2.70800   2934.57   2834.78 
   678    2.71200   2956.24   2839.36 
   679    2.71600   2977.91   2848.51 
   680    2.72000   2999.88   2854.92 
   681    2.72400   3019.41   2859.50 
   682    2.72800   3038.94   2862.85 
   683    2.73200   3062.44   2869.26 
   684    2.73600   3085.02   2874.45 
   685    2.74000   3103.64   2877.20 
   686    2.74400   3125.00   2879.94 
   687    2.74800   3145.45   2881.16 
   688    2.75200   3168.64   2885.13 
   689    2.75600   3190.92   2888.18 
   690    2.76000   3213.81   2882.08 
   691    2.76400   3237.92   2879.03 
   692    2.76800   3259.28   2876.59 
   693    2.77200   3282.47   2871.40 
   694    2.77600   3303.83   2863.77 
   695    2.78000   3321.84   2855.53 
   696    2.78400   3339.84   2846.68 
   697    2.78800   3355.10   2841.49 
   698    2.79200   3377.08   2834.78 
   699    2.79600   3395.69   2825.93 
   700    2.80000   3411.87   2813.72 
   701    2.80400   3428.04   2807.62 
   702    2.80800   3011.17   2499.69 
   703    2.81200   1354.98   2234.80 
   704    2.81600    776.37   1899.41 
   705    2.82000    739.75   1781.62 
   706    2.82400    747.07   1756.90 
   707    2.82800    750.43   1762.39 
   708    2.83200    748.90   1784.67 
   709    2.83600    735.78   1821.29 
   710    2.84000    733.95   1867.68 
   711    2.84400    737.61   1920.47 
   712    2.84800    739.75   1974.79 
   713    2.85200    719.30   2031.56 
   714    2.85600    742.19   2084.35 
   715    2.86000    760.80   2142.94 
   716    2.86400    784.91   2204.59 
   717    2.86800    811.77   2261.96 
   718    2.87200    840.45   2316.28 
   719    2.87600    875.24   2371.52 
   720    2.88000    917.66   2424.32 
   721    2.88400    952.15   2474.98 
   722    2.88800    995.48   2522.58 
   723    2.89200   1044.31   2568.97 
   724    2.89600   1097.11   2613.53 
   725    2.90000   1155.09   2661.13 
   726    2.90400   1217.04   2692.57 
   727    2.90800   1278.99   2725.52 
   728    2.91200   1345.21   2757.26 
   729    2.91600   1414.18   2784.12 
